"","E. intermedius","E. triangulatus","MeanDecreaseAccuracy","MeanDecreaseGini"
"X.OTU.ID.768",4.69017655133654,5.74355079613543,5.54852425759797,3.28102132483611
"X.OTU.ID.11",4.77904934401782,5.06610052997826,5.22496619229429,2.32863114020055
"X.OTU.ID.7",3.91423231658602,4.11105235237544,4.35006249064514,2.3202830184832
"X.OTU.ID.22",2.1864158387511,0.206458523756224,2.35849198334705,0.527145001894278
"X.OTU.ID.886",1.79508005802209,1.53154390687093,2.054531219647,0.439587561643002
"X.OTU.ID.32",1.41392503568186,1.38508672212889,2.02491936010128,0.188921470342523
"X.OTU.ID.1157",1.29481093157789,0.773439663424907,1.39689298301088,0.95689576229443
"X.OTU.ID.928",1.08909834898276,1.42814539995221,1.33002122261094,0.761024476383312
"X.OTU.ID.18",2.01538226974081,-1.00503781525921,1.17129026902726,0.311811586147004
"X.OTU.ID.1207",0.662003339605294,0.908318518210389,1.02551558161693,0.407671037048816
"X.OTU.ID.5",1.15617127568182,0.728981228697091,1.02173365793804,0.434001864363707
"X.OTU.ID.12",-0.209656967344384,1.87477291764961,0.917209430648059,0.372896892094261
"X.OTU.ID.1295",1.67185609282103,-0.557952475632102,0.769276538367752,0.238245363871861
"X.OTU.ID.796",1.36992555160794,0,0.717743163457267,0.22184240613188
"X.OTU.ID.1069",0.0844807351505008,0.795199966971614,0.456412319275943,0.265614099350941
"X.OTU.ID.37",0.353463438766366,-0.362118666498004,0.348518196042756,0.368794496159081
"X.OTU.ID.16",0.603542118832553,-0.15619281095398,0.217383325511662,0.161063723042785
"X.OTU.ID.1206",-0.517469255142235,1.00503781525921,-0.0225555466106958,0.17206986487959
"X.OTU.ID.1015",-1.48918985144049,1.33750320193656,-0.144363910055086,0.406549404505382
"X.OTU.ID.1108",-1.01815829585773,1.42258560056502,-0.290284607177879,0.420512031431873
